,date,competition,round,day,venue,result,goals_for,goals_against,opponent,possession,attendance,captain,formation,opponent_formation,referee,notes,season,time_local,xG,xGA
158,2020-11-08,Copa de la Liga Profesional,Group stage,Sun,Away,W,2.0,0.0,Newell's OB,42.0,,Carlos Tevez,4-2-3-1,4-3-3,Unknown,No Notes,2020,21:15,,
159,2020-11-15,Copa de la Liga Profesional,Group stage,Sun,Home,L,0.0,1.0,Talleres,51.0,,Carlos Tevez,4-2-3-1,4-3-3,Unknown,No Notes,2020,21:15,,
160,2020-11-20,Copa de la Liga Profesional,Group stage,Fri,Home,L,1.0,2.0,Lanús,60.0,,Ramón Ábila,4-2-3-1,4-2-2-2,Unknown,No Notes,2020,19:20,,
161,2020-11-29,Copa de la Liga Profesional,Group stage,Sun,Home,W,2.0,0.0,Newell's OB,55.0,,Carlos Izquierdoz,4-2-3-1,4-3-3,Unknown,No Notes,2020,19:20,,
162,2020-12-02,Libertadores,Round of 16,Wed,Away,W,1.0,0.0,Internacional,49.0,,Carlos Tevez,4-2-3-1,4-1-3-2,Esteban Ostojich,Leg 1 of 2,2020,21:30,0.9,1.5
163,2020-12-06,Copa de la Liga Profesional,Group stage,Sun,Away,D,0.0,0.0,Talleres,45.0,,Carlos Izquierdoz,4-2-3-1,4-3-3,Unknown,No Notes,2020,21:30,,
164,2020-12-09,Libertadores,Round of 16,Wed,Home,L,0.0,1.0,Internacional,51.0,,Carlos Tevez,4-4-2,4-1-4-1,Roberto Tobar,Leg 2 of 2; Boca Juniors won; Boca Juniors won on penalty kicks following extra time,2020,21:30,0.5,1.0
165,2020-12-12,Copa de la Liga Profesional,Group stage,Sat,Home,D,1.0,1.0,Arsenal,57.0,,Carlos Zambrano,4-2-3-1,5-3-2,Unknown,No Notes,2020,19:20,,
166,2020-12-16,Libertadores,Quarter-finals,Wed,Away,L,0.0,1.0,Racing Club,47.0,,Carlos Tevez,4-4-2,3-4-3,Esteban Ostojich,Leg 1 of 2,2020,21:30,0.6,0.8
167,2020-12-20,Copa de la Liga Profesional,Group stage,Sun,Away,W,2.0,1.0,Independiente,65.0,,Carlos Zambrano,4-4-2,4-2-3-1,Unknown,No Notes,2020,19:20,,
168,2020-12-23,Libertadores,Quarter-finals,Wed,Home,W,2.0,0.0,Racing Club,48.0,,Carlos Tevez,4-4-2,3-4-3,Wilmar Roldán,Leg 2 of 2; Boca Juniors won,2020,21:30,2.9,0.2
169,2020-12-27,Copa de la Liga Profesional,Group stage,Sun,Home,W,3.0,0.0,Huracán,57.0,,Ramón Ábila,4-4-2,4-1-4-1,Unknown,No Notes,2020,19:20,,
170,2021-01-02,Copa de la Liga Profesional,Group stage,Sat,Home,D,2.0,2.0,River Plate,29.0,,Carlos Izquierdoz,4-4-2,4-1-3-2,Unknown,No Notes,2020,21:30,,
171,2021-01-06,Libertadores,Semi-finals,Wed,Home,D,0.0,0.0,Santos,46.0,,Carlos Tevez,4-2-2-2,4-2-3-1,Roberto Tobar,Leg 1 of 2,2020,19:15,0.4,0.4
172,2021-01-09,Copa de la Liga Profesional,Group stage,Sat,Away,D,2.0,2.0,Arg Juniors,59.0,,Ramón Ábila,4-4-2,4-2-3-1,Unknown,No Notes,2020,21:30,,
173,2021-01-13,Libertadores,Semi-finals,Wed,Away,L,0.0,3.0,Santos,55.0,,Carlos Tevez,4-4-2,4-3-3,Wilmar Roldán,Leg 2 of 2; Santos won,2020,19:15,0.9,2.3
174,2021-01-17,Copa de la Liga Profesional,Final,Sun,Away,D,1.0,1.0,Banfield,52.0,,Carlos Izquierdoz,4-4-2,4-1-4-1,Unknown,Boca Juniors won on penalty kicks following extra time,2020,22:10,,
175,2021-02-14,Copa de la Liga Profesional,Group stage,Sun,Home,D,2.0,2.0,Gimnasia–LP,67.0,,Carlos Tevez,4-2-3-1,4-4-2,Pablo Echavarría,No Notes,2021,19:20,1.3,1.1
176,2021-02-21,Copa de la Liga Profesional,Group stage,Sun,Away,W,1.0,0.0,Newell's OB,54.0,,Carlos Izquierdoz,4-4-2,4-3-3,Darío Herrera,No Notes,2021,21:30,1.1,0.3
177,2021-02-28,Copa de la Liga Profesional,Group stage,Sun,Home,D,1.0,1.0,Sarmiento,70.0,,Carlos Izquierdoz,4-4-2,4-2-3-1,Francisco Oscar Lamolina,No Notes,2021,21:30,0.7,0.4
178,2021-03-07,Copa de la Liga Profesional,Group stage,Sun,Away,W,7.0,1.0,Vélez Sarsfield,41.0,,Carlos Tevez,4-1-4-1,4-2-3-1,Diego Abal,No Notes,2021,21:30,2.2,1.4
179,2021-03-14,Copa de la Liga Profesional,Group stage,Sun,Home,D,1.0,1.0,River Plate,42.0,,Carlos Tevez,3-4-3,4-3-3,Facundo Tello,No Notes,2021,18:00,2.1,1.1
180,2021-03-21,Copa de la Liga Profesional,Group stage,Sun,Home,L,1.0,2.0,Talleres,58.0,,Carlos Tevez,4-1-4-1,4-2-3-1,Fernando Rapallini,No Notes,2021,21:00,0.3,1.9
181,2021-03-28,Copa de la Liga Profesional,Group stage,Sun,Away,D,1.0,1.0,Independiente,56.0,,Carlos Tevez,5-3-2,3-4-3,Patricio Loustau,No Notes,2021,21:00,2.3,1.3
182,2021-04-03,Copa de la Liga Profesional,Group stage,Sat,Home,W,2.0,1.0,Defensa y Just,37.0,,Carlos Tevez,3-4-3,3-4-3,Fernando Echenique,No Notes,2021,18:30,1.7,0.5
183,2021-04-11,Copa de la Liga Profesional,Group stage,Sun,Away,L,0.0,1.0,Unión,67.0,,Carlos Tevez,3-4-3,5-4-1,Fernando Espinoza,No Notes,2021,18:30,0.6,0.3
184,2021-04-17,Copa de la Liga Profesional,Group stage,Sat,Home,W,3.0,1.0,Atlé Tucumán,60.0,,Carlos Tevez,4-3-3,4-4-2,Jorge Baliño,No Notes,2021,18:00,3.0,1.2
185,2021-04-21,Libertadores,Group stage,Wed,Away,W,1.0,0.0,The Strongest,35.0,,Carlos Izquierdoz,4-4-2,4-3-3,John J. Ospina,No Notes,2021,18:00,0.7,0.7
186,2021-04-24,Copa de la Liga Profesional,Group stage,Sat,Away,W,2.0,0.0,Huracán,48.0,,Carlos Tevez,4-4-2,4-3-3,Silvio Trucco,No Notes,2021,18:00,1.7,0.2
187,2021-04-27,Libertadores,Group stage,Tue,Home,W,2.0,0.0,Santos,43.0,,Carlos Tevez,4-3-3,4-3-3,Jesús Valenzuela,No Notes,2021,21:30,1.4,0.4
188,2021-05-02,Copa de la Liga Profesional,Group stage,Sun,Home,W,1.0,0.0,Lanús,55.0,,Carlos Tevez,4-3-3,4-4-2,Facundo Tello,No Notes,2021,10:00,2.2,1.5
189,2021-05-04,Libertadores,Group stage,Tue,Away,L,0.0,1.0,Barcelona,57.0,,Carlos Izquierdoz,4-3-3,3-4-3,Andrés Rojas,No Notes,2021,19:30,0.7,1.0
190,2021-05-08,Copa de la Liga Profesional,Group stage,Sat,Away,L,0.0,1.0,Patronato,60.0,,Frank Fabra,4-1-4-1,4-4-2,Hernán Mastrángelo,No Notes,2021,18:00,0.4,1.2
191,2021-05-11,Libertadores,Group stage,Tue,Away,L,0.0,1.0,Santos,59.0,,Carlos Tevez,4-3-3,4-2-3-1,Christian Ferreyra,No Notes,2021,19:15,0.7,0.5
192,2021-05-16,Copa de la Liga Profesional,Quarter-finals,Sun,Home,D,1.0,1.0,River Plate,48.0,,Carlos Tevez,4-3-3,4-4-1-1,Facundo Tello,Boca Juniors won on penalty kicks following extra time,2021,17:30,1.5,0.7
193,2021-05-20,Libertadores,Group stage,Thu,Home,D,0.0,0.0,Barcelona,70.0,,Carlos Izquierdoz,4-3-3,4-2-3-1,Wilmar Roldán,No Notes,2021,21:00,0.6,0.9
194,2021-05-26,Libertadores,Group stage,Wed,Home,W,3.0,0.0,The Strongest,62.0,,Carlos Tevez,5-3-2,3-1-4-2,Roberto Tobar,No Notes,2021,21:00,1.4,0.1
195,2021-05-31,Copa de la Liga Profesional,Semi-finals,Mon,Away,D,0.0,0.0,Racing Club,57.0,,Carlos Tevez,3-5-2,4-3-3,Darío Herrera,Racing Club won on penalty kicks following extra time,2021,15:00,0.4,0.2
196,2021-07-13,Libertadores,Round of 16,Tue,Home,D,0.0,0.0,Atlético Mineiro,44.0,,Carlos Izquierdoz,4-3-3,4-2-3-1,Andrés Rojas,Leg 1 of 2,2021,19:15,0.5,0.3
197,2021-07-16,Liga Argentina,Matchweek 1,Fri,Away,D,1.0,1.0,Unión,45.0,,Javier Hernán García,4-4-2,5-3-2,Nicolás Lamolina,No Notes,2021,19:00,0.5,1.1
198,2021-07-20,Libertadores,Round of 16,Tue,Away,D,0.0,0.0,Atlético Mineiro,38.0,,Carlos Izquierdoz,4-1-4-1,4-2-3-1,Esteban Ostojich,Leg 2 of 2; Atlético Mineiro won; Atlético Mineiro won on penalty kicks following extra time,2021,19:15,0.4,0.8
199,2021-07-24,Liga Argentina,Matchweek 2,Sat,Away,D,0.0,0.0,Banfield,46.0,,Eros Mancuso,4-2-3-1,4-2-3-1,Pablo Echavarría,No Notes,2021,20:15,0.8,0.7
200,2021-07-27,Liga Argentina,Matchweek 3,Tue,Home,L,0.0,2.0,San Lorenzo,59.0,,Eros Mancuso,4-1-3-2,4-2-3-1,Fernando Echenique,No Notes,2021,21:00,0.7,1.8
201,2021-08-01,Liga Argentina,Matchweek 4,Sun,Away,D,0.0,0.0,Talleres,55.0,,Carlos Izquierdoz,4-1-4-1,4-2-3-1,Fernando Rapallini,No Notes,2021,15:45,0.6,1.4
202,2021-08-08,Liga Argentina,Matchweek 5,Sun,Home,D,1.0,1.0,Arg Juniors,61.0,,Carlos Izquierdoz,4-3-3,3-4-1-2,Nicolás Lamolina,No Notes,2021,18:00,0.3,0.7
203,2021-08-15,Liga Argentina,Matchweek 6,Sun,Away,L,0.0,1.0,Estudiantes–LP,64.0,,Carlos Izquierdoz,3-4-1-2,4-4-2,Facundo Tello,No Notes,2021,18:00,0.5,0.4
204,2021-08-21,Liga Argentina,Matchweek 7,Sat,Home,W,1.0,0.0,Patronato,70.0,,Carlos Izquierdoz,4-3-3,4-4-1-1,Silvio Trucco,No Notes,2021,20:15,0.6,0.3
205,2021-08-25,Liga Argentina,Matchweek 8,Wed,Away,W,3.0,1.0,Platense,63.0,,Carlos Izquierdoz,4-3-1-2,4-4-2,Leandro Rey Hilfer,No Notes,2021,21:00,1.4,0.4
206,2021-08-29,Liga Argentina,Matchweek 9,Sun,Home,D,0.0,0.0,Racing Club,60.0,,Carlos Izquierdoz,4-3-1-2,4-2-3-1,Fernando Rapallini,No Notes,2021,20:15,0.8,0.4
207,2021-09-04,Liga Argentina,Matchweek 10,Sat,Away,W,2.0,1.0,Rosario Central,60.0,,Carlos Izquierdoz,4-1-2-1-2◆,4-3-1-2,Fernando Espinoza,No Notes,2021,20:15,1.5,1.9
208,2021-09-14,Liga Argentina,Matchweek 11,Tue,Home,D,0.0,0.0,Defensa y Just,59.0,,Carlos Izquierdoz,4-3-1-2,3-4-3,Ariel Penel,No Notes,2021,21:00,1.1,1.0
209,2021-09-18,Liga Argentina,Matchweek 12,Sat,Away,W,2.0,1.0,Atlé Tucumán,49.0,,Carlos Izquierdoz,4-3-1-2,4-4-2,Hernán Mastrángelo,No Notes,2021,20:15,2.1,0.3
210,2021-09-26,Liga Argentina,Matchweek 13,Sun,Home,W,1.0,0.0,Colón,59.0,,Carlos Izquierdoz,4-3-3,3-5-2,Nicolás Lamolina,No Notes,2021,20:15,1.1,0.7
211,2021-10-03,Liga Argentina,Matchweek 14,Sun,Away,L,1.0,2.0,River Plate,30.0,,Carlos Izquierdoz,4-3-3,4-3-2-1,Fernando Rapallini,No Notes,2021,17:00,0.4,1.0
212,2021-10-09,Liga Argentina,Matchweek 15,Sat,Home,W,4.0,2.0,Lanús,64.0,,Carlos Izquierdoz,4-3-2-1,4-4-2,Pablo Echavarría,No Notes,2021,20:15,3.1,0.8
213,2021-10-16,Liga Argentina,Matchweek 16,Sat,Away,W,3.0,0.0,Huracán,60.0,,Carlos Izquierdoz,4-3-2-1,4-3-3,Nicolás Lamolina,No Notes,2021,20:15,2.2,1.6
214,2021-10-20,Liga Argentina,Matchweek 17,Wed,Home,W,2.0,1.0,Godoy Cruz,55.0,,Carlos Izquierdoz,4-3-2-1,4-3-3,Patricio Loustau,No Notes,2021,21:15,2.0,1.0
215,2021-10-24,Liga Argentina,Matchweek 18,Sun,Away,L,0.0,2.0,Vélez Sarsfield,52.0,,Carlos Izquierdoz,4-4-2,4-2-3-1,Diego Abal,No Notes,2021,20:15,0.2,0.9
216,2021-10-30,Liga Argentina,Matchweek 19,Sat,Home,L,0.0,1.0,Gimnasia–LP,77.0,,Carlos Izquierdoz,4-1-2-1-2◆,4-4-2,Ariel Penel,No Notes,2021,20:15,1.9,1.0
217,2021-11-08,Liga Argentina,Matchweek 20,Mon,Away,W,3.0,0.0,Aldosivi,61.0,,Carlos Izquierdoz,4-3-1-2,4-2-3-1,Andrés Merlos,No Notes,2021,21:15,3.4,1.2
218,2021-11-20,Liga Argentina,Matchweek 21,Sat,Home,W,2.0,0.0,Sarmiento,54.0,,Carlos Izquierdoz,4-3-1-2,4-3-1-2,Leandro Rey Hilfer,No Notes,2021,19:15,2.0,1.0
219,2021-11-24,Liga Argentina,Matchweek 22,Wed,Away,L,0.0,1.0,Independiente,64.0,,Carlos Izquierdoz,4-3-1-2,4-5-1,Pablo Echavarría,No Notes,2021,21:30,1.7,0.6
220,2021-11-30,Liga Argentina,Matchweek 23,Tue,Home,D,0.0,0.0,Newell's OB,72.0,,Marcos Rojo,4-3-3,4-2-3-1,Patricio Loustau,No Notes,2021,19:15,1.3,0.9
221,2021-12-04,Liga Argentina,Matchweek 24,Sat,Away,D,1.0,1.0,Arsenal,60.0,,Marcos Rojo,4-1-2-1-2◆,4-4-2,Néstor Pitana,No Notes,2021,17:00,1.3,1.1
222,2021-12-11,Liga Argentina,Matchweek 25,Sat,Home,W,8.0,1.0,Cen. Córdoba–SdE,73.0,,Javier Hernán García,4-3-3,4-4-2,Mauro Vigliano,No Notes,2021,22:00,3.3,0.4
223,2022-02-13,Copa de la Liga Profesional,Group stage,Sun,Home,D,1.0,1.0,Colón,55.0,,Carlos Izquierdoz,4-3-3,4-5-1,Fernando Echenique,No Notes,2022,21:30,1.0,1.1
224,2022-02-16,Copa de la Liga Profesional,Group stage,Wed,Away,W,2.0,1.0,Aldosivi,49.0,,Carlos Izquierdoz,4-3-3,4-2-3-1,Patricio Loustau,No Notes,2022,19:15,2.6,0.9
225,2022-02-20,Copa de la Liga Profesional,Group stage,Sun,Home,W,2.0,1.0,Rosario Central,43.0,,Carlos Izquierdoz,4-3-3,4-3-1-2,Ariel Penel,No Notes,2022,19:15,1.0,1.1
226,2022-02-26,Copa de la Liga Profesional,Group stage,Sat,Away,D,2.0,2.0,Independiente,53.0,,Carlos Izquierdoz,4-3-1-2,4-2-3-1,Facundo Tello,No Notes,2022,21:30,1.7,1.6
227,2022-03-06,Copa de la Liga Profesional,Group stage,Sun,Home,L,0.0,1.0,Huracán,64.0,,Carlos Izquierdoz,4-3-1-2,4-1-4-1,Nicolás Lamolina,No Notes,2022,19:15,0.6,0.6
228,2022-03-13,Copa de la Liga Profesional,Group stage,Sun,Away,W,1.0,0.0,Estudiantes–LP,64.0,,Carlos Izquierdoz,4-3-1-2,4-4-2,Fernando Echenique,No Notes,2022,21:30,2.0,1.6
229,2022-03-20,Copa de la Liga Profesional,Group stage,Sun,Away,W,1.0,0.0,River Plate,37.0,,Marcos Rojo,4-1-2-1-2◆,4-4-2,Darío Herrera,No Notes,2022,19:00,1.2,1.2
230,2022-04-02,Copa de la Liga Profesional,Group stage,Sat,Home,D,2.0,2.0,Arsenal,71.0,,Marcos Rojo,4-2-3-1,4-4-2,Leandro Rey Hilfer,No Notes,2022,21:30,1.1,1.2
231,2022-04-05,Libertadores,Group stage,Tue,Away,L,0.0,2.0,AD Cali,54.0,18695.0,Frank Fabra,4-3-1-2,4-4-1-1,Jesús Valenzuela,No Notes,2022,19:30,0.7,1.6
232,2022-04-09,Copa de la Liga Profesional,Group stage,Sat,Away,D,0.0,0.0,Vélez Sarsfield,62.0,,Marcos Rojo,4-3-1-2,4-4-1-1,Patricio Loustau,No Notes,2022,21:30,0.7,0.3
233,2022-04-12,Libertadores,Group stage,Tue,Home,W,2.0,0.0,Always Ready,73.0,,Frank Fabra,4-1-3-2,4-4-2,Gustavo Tejera,No Notes,2022,19:15,2.2,0.2
234,2022-04-17,Copa de la Liga Profesional,Group stage,Sun,Home,D,1.0,1.0,Lanús,60.0,,Marcos Rojo,4-3-3,4-4-2,Facundo Tello,No Notes,2022,19:00,0.6,1.2
235,2022-04-20,Copa de la Liga Profesional,Group stage,Wed,Home,D,1.0,1.0,Godoy Cruz,59.0,,Marcos Rojo,4-4-2,4-2-3-1,Hernán Mastrángelo,No Notes,2022,21:30,1.3,3.2
236,2022-04-23,Copa de la Liga Profesional,Group stage,Sat,Away,W,2.0,1.0,Cen. Córdoba–SdE,64.0,,Marcos Rojo,4-3-3,5-3-2,Yael Falcón,No Notes,2022,19:00,2.0,2.1
237,2022-04-26,Libertadores,Group stage,Tue,Away,L,0.0,2.0,Corinthians,58.0,,Frank Fabra,4-1-4-1,4-3-3,Andrés Matonte,No Notes,2022,21:30,0.3,1.2
238,2022-04-30,Copa de la Liga Profesional,Group stage,Sat,Home,W,2.0,0.0,Barracas Central,66.0,,Carlos Izquierdoz,4-2-3-1,4-2-3-1,Fernando Espinoza,No Notes,2022,19:00,1.5,0.8
239,2022-05-04,Libertadores,Group stage,Wed,Away,W,1.0,0.0,Always Ready,45.0,,Frank Fabra,4-1-4-1,4-4-2,Kevin Ortega,No Notes,2022,20:00,1.6,1.0
240,2022-05-07,Copa de la Liga Profesional,Group stage,Sat,Away,W,2.0,0.0,Tigre,53.0,,Marcos Rojo,4-3-3,4-1-4-1,Pablo Echavarría,No Notes,2022,16:30,1.5,2.1
241,2022-05-10,Copa de la Liga Profesional,Quarter-finals,Tue,Home,W,2.0,0.0,Defensa y Just,57.0,,Marcos Rojo,4-1-4-1,4-2-3-1,Andrés Merlos,No Notes,2022,21:30,0.8,0.2
242,2022-05-14,Copa de la Liga Profesional,Semi-finals,Sat,Home,D,0.0,0.0,Racing Club,48.0,,Marcos Rojo,4-1-4-1,4-3-3,Facundo Tello,Boca Juniors won on penalty kicks following extra time,2022,17:00,0.0,1.0
243,2022-05-17,Libertadores,Group stage,Tue,Home,D,1.0,1.0,Corinthians,75.0,,Carlos Izquierdoz,4-1-4-1,3-4-3,Christian Ferreyra,No Notes,2022,21:30,1.1,0.1
244,2022-05-22,Copa de la Liga Profesional,Final,Sun,Home,W,3.0,0.0,Tigre,53.0,,Carlos Izquierdoz,4-1-4-1,4-4-2,Darío Herrera,No Notes,2022,16:00,0.9,1.5
245,2022-05-26,Libertadores,Group stage,Thu,Home,W,1.0,0.0,AD Cali,61.0,,Carlos Izquierdoz,4-1-4-1,4-2-3-1,Piero Maza,No Notes,2022,21:00,1.0,0.5
246,2022-06-05,Liga Argentina,Matchweek 1,Sun,Home,W,2.0,1.0,Arsenal,63.0,,Carlos Izquierdoz,4-3-3,4-4-2,Fernando Espinoza,No Notes,2022,19:30,1.5,0.8
247,2022-06-12,Liga Argentina,Matchweek 2,Sun,Away,L,0.0,1.0,Cen. Córdoba–SdE,70.0,,Carlos Izquierdoz,4-1-4-1,4-4-2,Pablo Echavarría,No Notes,2022,20:30,1.3,1.0
248,2022-06-15,Liga Argentina,Matchweek 3,Wed,Home,W,5.0,3.0,Tigre,49.0,,Marcos Rojo,4-1-4-1,4-2-3-1,Jorge Baliño,No Notes,2022,21:30,0.9,2.3
249,2022-06-19,Liga Argentina,Matchweek 4,Sun,Away,W,3.0,1.0,Barracas Central,78.0,,Carlos Izquierdoz,4-1-4-1,4-2-3-1,Patricio Loustau,No Notes,2022,21:30,2.2,0.4
250,2022-06-24,Liga Argentina,Matchweek 5,Fri,Home,L,1.0,2.0,Unión,70.0,,Frank Fabra,4-3-1-2,4-4-2,Yael Falcón,No Notes,2022,21:30,1.4,1.9
251,2022-06-28,Libertadores,Round of 16,Tue,Away,D,0.0,0.0,Corinthians,45.0,,Carlos Izquierdoz,4-1-4-1,4-3-3,Roberto Tobar,Leg 1 of 2,2022,21:30,0.7,1.7
252,2022-07-01,Liga Argentina,Matchweek 6,Fri,Home,L,0.0,3.0,Banfield,65.0,,Javier Hernán García,4-3-1-2,4-3-3,Darío Herrera,No Notes,2022,21:30,0.7,1.7
253,2022-07-05,Libertadores,Round of 16,Tue,Home,D,0.0,0.0,Corinthians,65.0,,Carlos Izquierdoz,4-3-3,5-3-2,Andrés Matonte,Leg 2 of 2; Corinthians won; Corinthians won on penalty kicks following extra time,2022,21:30,1.9,0.1
254,2022-07-09,Liga Argentina,Matchweek 7,Sat,Away,L,1.0,2.0,San Lorenzo,67.0,,Marcos Rojo,4-1-3-2,3-4-3,Fernando Espinoza,No Notes,2022,15:30,0.7,1.9
255,2022-07-16,Liga Argentina,Matchweek 8,Sat,Home,W,1.0,0.0,Talleres,62.0,,Marcos Rojo,4-3-3,4-2-3-1,Pablo Dóvalo,No Notes,2022,20:30,2.3,0.3
256,2022-07-19,Liga Argentina,Matchweek 9,Tue,Away,L,0.0,2.0,Arg Juniors,63.0,,Marcos Rojo,4-4-2,3-1-4-2,Fernando Rapallini,No Notes,2022,21:30,0.6,0.5
257,2022-07-24,Liga Argentina,Matchweek 10,Sun,Home,W,3.0,1.0,Estudiantes–LP,55.0,,Marcos Rojo,4-3-3,4-2-3-1,Hernán Mastrángelo,No Notes,2022,20:30,1.6,1.3
258,2022-07-31,Liga Argentina,Matchweek 11,Sun,Away,L,0.0,3.0,Patronato,60.0,,Frank Fabra,4-3-3,4-4-2,Facundo Tello,No Notes,2022,18:00,1.2,0.9
259,2022-08-06,Liga Argentina,Matchweek 12,Sat,Home,W,2.0,1.0,Platense,55.0,,Guillermo Matías Fernández,4-3-3,3-4-3,Yael Falcón,No Notes,2022,21:00,1.2,0.8
260,2022-08-14,Liga Argentina,Matchweek 13,Sun,Away,D,0.0,0.0,Racing Club,34.0,,Frank Fabra,4-3-1-2,4-3-3,Fernando Rapallini,No Notes,2022,20:30,1.0,1.3
261,2022-08-17,Liga Argentina,Matchweek 14,Wed,Home,D,0.0,0.0,Rosario Central,66.0,,Frank Fabra,4-3-3,4-1-4-1,Pablo Echavarría,No Notes,2022,21:30,1.4,1.2
262,2022-08-21,Liga Argentina,Matchweek 15,Sun,Away,W,1.0,0.0,Defensa y Just,48.0,,Guillermo Matías Fernández,4-3-3,4-1-4-1,Silvio Trucco,No Notes,2022,20:30,0.6,0.9
263,2022-08-28,Liga Argentina,Matchweek 16,Sun,Home,W,2.0,1.0,Atlé Tucumán,71.0,,Frank Fabra,4-3-3,4-4-2,Fernando Espinoza,No Notes,2022,18:00,0.2,0.5
264,2022-09-04,Liga Argentina,Matchweek 17,Sun,Away,W,2.0,1.0,Colón,55.0,,Marcos Rojo,4-3-3,4-1-3-2,Hernán Mastrángelo,No Notes,2022,18:00,0.7,2.5
265,2022-09-11,Liga Argentina,Matchweek 18,Sun,Home,W,1.0,0.0,River Plate,39.0,,Marcos Rojo,4-1-2-1-2◆,5-3-2,Darío Herrera,No Notes,2022,17:00,0.5,0.2
266,2022-09-14,Liga Argentina,Matchweek 19,Wed,Away,W,1.0,0.0,Lanús,60.0,,Frank Fabra,4-1-2-1-2◆,4-3-3,Facundo Tello,No Notes,2022,21:30,0.8,0.4
267,2022-09-19,Liga Argentina,Matchweek 20,Mon,Home,D,0.0,0.0,Huracán,57.0,,Frank Fabra,4-1-2-1-2◆,4-3-3,Yael Falcón,No Notes,2022,19:00,0.5,0.6
268,2022-09-23,Liga Argentina,Matchweek 21,Fri,Away,W,1.0,0.0,Godoy Cruz,49.0,,Guillermo Matías Fernández,4-5-1,4-4-1-1,Pablo Echavarría,No Notes,2022,19:00,0.8,0.3
269,2022-10-02,Liga Argentina,Matchweek 22,Sun,Home,W,1.0,0.0,Vélez Sarsfield,50.0,,Guillermo Matías Fernández,4-3-3,4-2-3-1,Patricio Loustau,No Notes,2022,18:00,0.4,1.1
270,2022-10-09,Liga Argentina,Matchweek 24,Sun,Home,W,2.0,1.0,Aldosivi,58.0,,Guillermo Matías Fernández,4-3-3,4-4-2,Silvio Trucco,No Notes,2022,18:00,1.9,0.4
271,2022-10-12,Liga Argentina,Matchweek 25,Wed,Away,W,1.0,0.0,Sarmiento,55.0,,Frank Fabra,4-3-3,4-4-2,Facundo Tello,No Notes,2022,16:30,2.9,0.5
272,2022-10-16,Liga Argentina,Matchweek 26,Sun,Away,L,0.0,2.0,Newell's OB,73.0,,Frank Fabra,4-3-1-2,3-4-3,Patricio Loustau,No Notes,2022,15:30,0.8,1.0
273,2022-10-20,Liga Argentina,Matchweek 23,Thu,Away,W,2.0,1.0,Gimnasia–LP,48.0,,Frank Fabra,4-3-1-2,4-4-2,Hernán Mastrángelo,No Notes,2022,15:00,0.7,0.8
274,2022-10-23,Liga Argentina,Matchweek 27,Sun,Home,D,2.0,2.0,Independiente,53.0,,Guillermo Matías Fernández,4-3-1-2,5-4-1,Darío Herrera,No Notes,2022,17:00,0.4,2.0
275,2023-01-29,Liga Argentina,Matchweek 1,Sun,Home,W,1.0,0.0,Atlé Tucumán,58.0,,Guillermo Matías Fernández,4-3-3,4-4-2,Jorge Baliño,No Notes,2023,21:30,1.2,1.7
276,2023-02-05,Liga Argentina,Matchweek 2,Sun,Home,D,0.0,0.0,Cen. Córdoba–SdE,72.0,,Guillermo Matías Fernández,4-3-3,4-4-2,Andrés Merlos,No Notes,2023,19:15,0.7,1.2
277,2023-02-11,Liga Argentina,Matchweek 3,Sat,Away,L,1.0,2.0,Talleres,55.0,,Guillermo Matías Fernández,4-3-3,4-2-3-1,Darío Herrera,No Notes,2023,21:30,0.5,1.6
278,2023-02-19,Liga Argentina,Matchweek 4,Sun,Home,W,3.0,1.0,Platense,54.0,,Guillermo Matías Fernández,4-2-2-2,4-4-2,Silvio Trucco,No Notes,2023,19:15,1.3,1.4
279,2023-02-25,Liga Argentina,Matchweek 5,Sat,Away,W,2.0,1.0,Vélez Sarsfield,35.0,,Guillermo Matías Fernández,4-4-2,4-3-3,Yael Falcón,No Notes,2023,21:30,0.9,1.3
280,2023-03-06,Liga Argentina,Matchweek 6,Mon,Home,D,0.0,0.0,Defensa y Just,59.0,,Guillermo Matías Fernández,4-3-3,4-3-3,Fernando Espinoza,No Notes,2023,21:00,2.2,2.2
281,2023-03-12,Liga Argentina,Matchweek 7,Sun,Away,L,0.0,1.0,Banfield,68.0,,Guillermo Matías Fernández,4-2-3-1,4-4-2,Hernán Mastrángelo,No Notes,2023,21:30,1.1,1.5
282,2023-03-19,Liga Argentina,Matchweek 8,Sun,Home,L,2.0,3.0,Instituto,69.0,,Guillermo Matías Fernández,4-3-3,4-4-2,Jorge Baliño,No Notes,2023,19:00,1.8,1.6
283,2023-04-01,Liga Argentina,Matchweek 9,Sat,Away,W,3.0,0.0,Barracas Central,51.0,,Guillermo Matías Fernández,4-1-4-1,4-4-1-1,Yael Falcón,No Notes,2023,15:30,2.4,0.2
284,2023-04-06,Libertadores,Group stage,Thu,Away,D,0.0,0.0,Monagas,49.0,40127.0,Guillermo Matías Fernández,4-3-3,4-3-3,Wilton Sampaio,No Notes,2023,20:00,0.7,0.5
285,2023-04-09,Liga Argentina,Matchweek 10,Sun,Home,L,1.0,2.0,Colón,70.0,,Javier Hernán García,4-3-3,3-1-4-2,Leandro Rey Hilfer,No Notes,2023,21:30,1.1,0.4
